@Lesson,Quartier étoile 6b - Planète 7 - Carnaval
de baby,le bébé
de politie agent,l'agent de police
het konijn,le lapin
het hemd,la chemise
de pyjama,le pyjama
de schoenen, les chaussures
de sokken,les chaussettes
het oog,l'oeil
de neus,le nez
de mond,la bouche
de week,la semaine
carnaval,le carnaval
de vriend,l'ami
de vriendin,l'amie
vallen,tomber
aantrekken,mettre
ik trek aan,je mets
slecht,mal
rechts,droit
links,gauche
meteen,tout de suite
